Words,Meanings,Characters,Spellings,Levels
当日,"appointed day, very day",とうじつ,tōjitsu,2
献立,"menu, program, schedule",こんだて,kondate,2
客席,guest seating,きゃくせき,kyakuseki,2
すれちがう,"to pass by one another, to disagree",,surechigau,2
偉い,"great, celebrated, eminent, terrible, awful, famous, remarkable, excellent",えらい,erai,2
包装,"packing, wrapping",ほうそう,hōsō,2
重なる,"to be piled up, lie on top of one another, overlap each other",かさなる,kasanaru,2
形容動詞,"adjectival noun, quasi-adjective",けいようどうし,keiyōdōshi,2
録音,(audio) recording,ろくおん,rokuon,2
出入り,"in and out, coming and going, free association, income and expenditure, debits and credit",でいり,deiri,2
方言,dialect,ほうげん,hōgen,2
空想,"daydream, fantasy, fancy, vision",くうそう,kūsō,2
店屋,"store, shop",みせや,miseya,2
まぶしい,"dazzling, radiant",,mabushii,2
一段と,"greater, more, further, still more",いちだんと,ichidanto,2
末っ子,youngest child,すえっこ,suekko,2
ダム,dumb,,damu,2
建つ,"to erect, to be erected, to be built",たつ,tatsu,2
口実,excuse,こうじつ,kōjitsu,2
話合い,"discussion, conference",はなしあい,hanashiai,2
噴水,water fountain,ふんすい,funsui,2
振舞う,"to behave, to conduct oneself, to entertain (vt)",ふるまう,furumau,2
枕,"pillow, bolster",まくら,makura,2
漢和,Chinese Character-Japanese (e.g. dictionary),かんわ,kanwa,2
法則,"law, rule",ほうそく,hōsoku,2
ウーマン,woman,,ūman,2
工夫,"labourer, worker",くふう,kufū,2
カロリー,calorie,,karorī,2
倉庫,"storehouse, warehouse, godown",そうこ,sōko,2
仲直り,"reconciliation, make peace with",なかなおり,nakanaori,2
缶詰,"packing (in cans), canning, canned goods, tin can",かんづめ,kanzume,2
おかげさまで,"Thanks to god, thanks to you",,okagesamade,2
パンツ,underpants,,pantsu,2
瀬戸物,"earthenware, crockery, china",せともの,setomono,2
解説,"explanation, commentary",かいせつ,kaisetsu,2
よこす,"(1) to send, to forward, (2) to hand over (e.g. money)",,yokosu,2
編物,"knitting, web",あみもの,amimono,2
縮める,"to shorten, to reduce, to boil down, to shrink",ちぢめる,chijimeru,2
レインコート,raincoat,,reinkōto,2
公害,"public nuisance, pollution",こうがい,kōgai,2
若々しい,"youthful, young",わかわかしい,wakawakashii,2
御手洗,font of purifying water placed at entrance of shrine,おてあらい,otearai,2
実感,"feelings (actual, true)",じっかん,jikkan,2
いってまいります,,,ittemairimasu,2
前後,"around, throughout, front and back, before and behind, before and after",ぜんご,zengo,2
代える,"to exchange, to interchange, to substitute, to replace",かえる,kaeru,2
無沙汰,neglecting to stay in contact,ぶさた,busata,2
寄せる,"to collect, to gather, to add, to put aside",よせる,yoseru,2
純粋,"pure, true, genuine, unmixed",じゅんすい,junsui,2
咥える,,くわえる,kuwaeru,2
エチケット,etiquette,,echiketto,2
標識,"sign, mark",ひょうしき,hyōshiki,2
消極的,passive,しょうきょくてき,shōkyokuteki,2
落第,"failure, dropping out of a class",らくだい,rakudai,2
活力,"vitality, energy",かつりょく,katsuryoku,2
短編,"short (e.g. story, film)",たんぺん,tanpen,2
間接,"indirection, indirectness",かんせつ,kansetsu,2
原稿,"manuscript, copy",げんこう,genkō,2
次ぐ,"to rank next to, to come after",つぐ,tsugu,2
用語,"term, terminology",ようご,yōgo,2
立ち止まる,"to stop, to halt, to stand still",たちどまる,tachidomaru,2
飛び込む,"to jump in, to leap in, to plunge into, to dive",とびこむ,tobikomu,2
努める,"(1) to serve, to fill a post, to serve under, to work (for)",つとめる,tsutomeru,2
まごまご,confused,,magomago,2
ネックレス,necklace,,nekkuresu,2
ずうっと,,,zūtto,2
商社,"trading company, firm",しょうしゃ,shōsha,2
神話,"myth, legend",しんわ,shinwa,2
過半数,majority,かはんすう,kahansū,2
牧場,"(1) farm (livestock), (2) pasture land, meadow, grazing land",ぼくじょう,bokujō,2
ブラウス,blouse,,burausu,2
名詞,noun,めいし,meishi,2
スケジュール,schedule,,sukejūru,2
平凡,"common, commonplace, ordinary, mediocre",へいぼん,heibon,2
草履,"zoori (Japanese footwear), sandals",ぞうり,zōri,2
往復,"(col) round trip, coming and going, return ticket",おうふく,ōfuku,2
剃刀,razor,かみそり,kamisori,2
開会,opening of a meeting,かいかい,kaikai,2
損得,"loss and gain, advantage and disadvantage",そんとく,sontoku,2
荒い,"rough, rude, wild",あらい,arai,2
広げる,"to spread, to extend, to expand, to enlarge",ひろげる,hirogeru,2
至急,"urgent, pressing",しきゅう,shikyū,2
始終,"continuously, from beginning to end",しじゅう,shijū,2
具える,to be furnished with,そなえる,sonaeru,2
あらすじ,"outline, summary",,arasuji,2
光線,"beam, light ray",こうせん,kōsen,2
円い,"round, circular, spherical",まるい,marui,2
貸間,room to let,かしま,kashima,2
容器,"container, vessel",ようき,yōki,2
恵まれる,"to be blessed with, to be rich in",めぐまれる,megumareru,2
鑑賞,appreciation,かんしょう,kanshō,2
四角い,square,しかくい,shikakui,2
剥す,"(v5s) to tear off, to peel off, to rip off",はがす,hagasu,2
郵送,mailing,ゆうそう,yūsō,2
分類,classification,ぶんるい,bunrui,2
炭鉱,"coal mine, coal pit",たんこう,tankō,2
書店,bookshop,しょてん,shoten,2
捕る,"to take, to catch (fish), to capture",とる,toru,2
直通,direct communication,ちょくつう,chokutsū,2
集会,"meeting, assembly",しゅうかい,shūkai,2
乾かす,"to dry (clothes, etc.), to desiccate",かわかす,kawakasu,2
混じる,"to be mixed, to be blended with, to associate with",まじる,majiru,2
系統,"system, family line, geological formation",けいとう,keitō,2
組み立てる,"to assemble, to set up, to construct",くみたてる,kumitateru,2
差し支え,"hindrance, impediment",さしつかえ,sashitsukae,2
改札,examination of tickets,かいさつ,kaisatsu,2
仕上がる,to be finished,しあがる,shiagaru,2
入社,entry to a company,にゅうしゃ,nyūsha,2
突く,"(1) to thrust, to strike, (2) to poke",つく,tsuku,2
あちらこちら,here and there,,achirakochira,2
物差し,"ruler, measure",ものさし,monosashi,2
じゃんけん,(n) rock-scissors-paper game,,janken,2
生存,"existence, being, survival",せいぞん,seizon,2
敬語,"honorific, term of respect",けいご,keigo,2
乗車,"taking a train, entraining",じょうしゃ,jōsha,2
カラー,"collar, color, colour",,karā,2
液体,"liquid, fluid",えきたい,ekitai,2
孝行,filial piety,こうこう,kōkō,2
薬品,"medicine(s), chemical(s)",やくひん,yakuhin,2
車庫,"garage, car shed",しゃこ,shako,2
鉢,"a bowl, a pot",はち,hachi,2
演劇,play (theatrical),えんげき,engeki,2
治す,"to cure, to heal, to fix, to correct, to repair",なおす,naosu,2
こぼす,to spill,,kobosu,2
拭く,"to wipe, to dry",ふく,fuku,2
噴火,eruption,ふんか,funka,2
毎度,"each time, common service-sector greeting",まいど,maido,2
着せる,to put on clothes,きせる,kiseru,2
地下水,underground water,ちかすい,chikasui,2
薄暗い,"dim, gloomy",うすぐらい,usugurai,2
循環,"circulation, rotation, cycle",じゅんかん,junkan,2
扇風機,electric fan,せんぷうき,senpūki,2
クーラー,"cooler, air conditioner",,kūrā,2
つまずく,"to stumble, to trip",,tsumazuku,2
スピーカー,speaker,,supīkā,2
標本,"example, specimen",ひょうほん,hyōhon,2
北極,North Pole,ほっきょく,hokkyoku,2
ダイヤモンド,diamond,,daiyamondo,2
伝わる,"to be handed down, to be introduced, to be transmitted",つたわる,tsutawaru,2
暴れる,"to act violently, to rage, to struggle, to be riotous",あばれる,abareru,2
通知,"notice, notification",つうち,tsūchi,2
茶色い,,ちゃいろい,chairoi,2
もしかしたら,"perhaps, maybe, by some chance",,moshikashitara,2
ぎっしり,"tightly, fully",,gisshiri,2
ぺん,pen,,pen,2
長短,"length, long and short, +-",ちょうたん,chōtan,2
文房具,stationery,ぶんぼうぐ,bunbōgu,2
延長,"extension, elongation, prolongation, lengthening",えんちょう,enchō,2
凹む,"to be dented, to be indented, to yield to, to give, to sink, to collapse, to cave in, to be snubbed",へこむ,hekomu,2
方面,"direction, district, field (e.g., of study)",ほうめん,hōmen,2
汲む,"(1) to draw (water), to dip, to scoop, to pump",くむ,kumu,2
目指す,"to aim at, to have an eye on",めざす,mezasu,2
お参り,"worship, shrine visit",おまいり,omairi,2
カセット,cassette (tape),,kasetto,2
五十音,the Japanese syllabary,ごじゅうおん,gojūon,2
延びる,to be prolonged,のびる,nobiru,2
分布,distribution,ぶんぷ,bunpu,2
存じる,(hum) to know,ぞんじる,zonjiru,2
代る,"(v5r, vi) to take the place of, to relieve, to be substituted for",かわる,kawaru,2
望遠鏡,telescope,ぼうえんきょう,bōenkyō,2
プラットホーム,platform,,purattohōmu,2
ぶつかる,"to strike, to collide with",,butsukaru,2
クリーニング,"cleaning, dry cleaning, laundry service",,kurīningu,2
特色,"characteristic, feature",とくしょく,tokushoku,2
締切,"closing, cut-off, end, deadline, Closed, No Entrance",しめきり,shimekiri,2
図鑑,picture book,ずかん,zukan,2
固い,"stubborn, firm (not viscous or easily moved)",かたい,katai,2
見直す,"to look again, to get a better opinion of",みなおす,minaosu,2
索引,"index, indices",さくいん,sakuin,2
揚げる,"to lift, to fry",あげる,ageru,2
学力,"scholarship, knowledge, literary ability",がくりょく,gakuryoku,2
鈴,bell,すず,suzu,2
挟む,"to interpose, to hold between, to insert",はさむ,hasamu,2
食塩,table salt,しょくえん,shokuen,2
言付ける,"to send word, to send a message",ことづける,kotozukeru,2
何々,"such and such, What?",なになに,naninani,2
筆者,"writer, author",ひっしゃ,hissha,2
応対,"receiving, dealing with",おうたい,ōtai,2
打ち消す,"to deny, to negate, to contradict",うちけす,uchikesu,2
万歳,"hurrah, cheers",ばんざい,banzai,2
あふれる,"to flood, to overflow, to brim over",,afureru,2
歯車,"gear, cog-wheel",はぐるま,haguruma,2
剃る,to shave,そる,soru,2
御馳走,"feast, treating (someone)",ごちそう,gochisō,2
悔しい,"regrettable, mortifying, vexing",くやしい,kuyashii,2
乗換,"(n) transfer (trains, buses, etc.)",のりかえ,norikae,2
余所,"another place, somewhere else, strange parts",よそ,yoso,2
換気,ventilation,かんき,kanki,2
交通機関,transportation facilities,こうつうきかん,kōtsūkikan,2
小遣い,"personal expenses, pocket money, spending money, incidental expenses, allowance",こづかい,kozukai,2
匙,spoon,さじ,saji,2
吊す,to hang,つるす,tsurusu,2
深まる,"to deepen, to heighten, to intensify",ふかまる,fukamaru,2
スマート,"smart, stylish, slim",,sumāto,2
話中,"while talking, the line is busy",はなしちゅう,hanashichū,2
ローマじ,"romanization, Roman letters",,rōmaji,2
逆様,"inversion, upside down",さかさま,sakasama,2
夕刊,evening paper,ゆうかん,yūkan,2
ナイロン,nylon,,nairon,2
売店,"shop, stand",ばいてん,baiten,2
見出し,"heading, caption, subtitle, index",みだし,midashi,2
御辞儀,bow,おじぎ,ojigi,2
下る,"to get down, to descend",くだる,kudaru,2
湯気,"steam, vapour",ゆげ,yuge,2
直後,immediately following,ちょくご,chokugo,2
為替,"money order, exchange",かわせ,kawase,2
センチ,"centimeter, centi-, 10^-2",,senchi,2
のろのろ,"slowly, sluggishly",,noronoro,2
斜,,はす,hasu,2
食器,tableware,しょっき,shokki,2
留まる,"(1) to be fixed, (2) to abide, to stay (in the one place)",とどまる,todomaru,2
頭脳,"head, brains, intellect",ずのう,zunō,2
文脈,context,ぶんみゃく,bunmyaku,2
蓋,"cover, lid, cap",ふた,futa,2
低下,"fall, decline, lowering, deterioration",ていか,teika,2
待合室,waiting room,まちあいしつ,machiaishitsu,2
こしらえる,"to make, to manufacture",,koshiraeru,2
給与,"allowance, grant, supply",きゅうよ,kyūyo,2
日の出,sunrise,ひので,hinode,2
殖やす,"to increase, to add to, to augment",ふやす,fuyasu,2
境界,boundary,きょうかい,kyōkai,2
プラスチック,plastic,,purasuchikku,2
崩れる,"to collapse, to crumble",くずれる,kuzureru,2
送別,"farewell, send-off",そうべつ,sōbetsu,2
たちまち,"at once, in a moment, suddenly, all at once",,tachimachi,2
縮む,"to shrink, to be contracted",ちぢむ,chijimu,2
落着く,"to calm down, to settle down",おちつく,ochitsuku,2
薄める,"to dilute, to water down",うすめる,usumeru,2
こっそり,"stealthily, secretly",,kossori,2
目下,"at present, now",めした,meshita,2
中年,middle-aged,ちゅうねん,chūnen,2
加熱,heating,かねつ,kanetsu,2
撮影,photographing,さつえい,satsuei,2
おねがいします,please,,onegaishimasu,2
載る,"to appear (in print), to be recorded",のる,noru,2
ピストル,pistol,,pisutoru,2
手続き,"procedure, (legal) process, formalities",てつづき,tetsuzuki,2
溶け込む,to melt into,とけこむ,tokekomu,2
学術,"science, learning, scholarship",がくじゅつ,gakujutsu,2
もしかすると,"perhaps, maybe, by some chance",,moshikasuruto,2
佚,"be lost, peace, hide, mistake, beautiful, in turn",いつ,itsu,2
出張,"official tour, business trip",しゅっちょう,shutchō,2
ビタミン,vitamin,,bitamin,2
評論,"criticism, critique",ひょうろん,hyōron,2
名所,famous place,めいしょ,meisho,2
以降,"on and after, hereafter, thereafter",いこう,ikō,2
祖先,ancestor,そせん,sosen,2
飽くまで,"to the end, to the last, stubbornly",あくまで,akumade,2
摩擦,"friction, rubbing, rubdown, chafe",まさつ,masatsu,2
勇ましい,"brave, valiant, gallant, courageous",いさましい,isamashii,2
強気,"firm, strong",つよき,tsuyoki,2
断定,"conclusion, decision",だんてい,dantei,2
大木,large tree,たいぼく,taiboku,2
しゃっくり,"hiccough, hiccup",,shakkuri,2
日程,agenda,にってい,nittei,2
枯れる,"to wither, to die (plant), to be blasted (plant)",かれる,kareru,2
社説,"editorial, leading article",しゃせつ,shasetsu,2
宴会,"party, banquet",えんかい,enkai,2
混ぜる,"to mix, to stir",まぜる,mazeru,2
三角,"triangle, triangular",さんかく,sankaku,2
性質,"nature, property, disposition",せいしつ,seishitsu,2
間も無く,"soon, before long, in a short time",まもなく,mamonaku,2
思い込む,"to be under impression that, to be convinced that",おもいこむ,omoikomu,2
淡水,fresh water,たんすい,tansui,2
巡査,"police, policeman",じゅんさ,junsa,2
突き当たり,end (e.g. of street),つきあたり,tsukiatari,2
掘る,"to dig, to excavate",ほる,horu,2
ためらう,to hesitate,,tamerau,2
句読点,punctuation marks,くとうてん,kutōten,2
果実,"fruit, nut, berry.",かじつ,kajitsu,2
垂直,"vertical, perpendicular",すいちょく,suichoku,2
被せる,to cover (with something),かぶせる,kabuseru,2
長女,eldest daughter,ちょうじょ,chōjo,2
動作,"action, movements, motions, bearing, behaviour, manners",どうさ,dōsa,2
浮く,"to float, to become merry, to become loose",うく,uku,2
いつのまにか,"before one knows, unnoticed, unawares",,itsunomanika,2
バンド,band,,bando,2
英文,sentence in English,えいぶん,eibun,2
溶岩,lava,ようがん,yōgan,2
しみじみ,"keenly, deeply, heartily",,shimijimi,2
掏摸,pickpocket,すり,suri,2
圧縮,"compression, condensation, pressure",あっしゅく,asshuku,2
乾杯,toast (drink),かんぱい,kanpai,2
永い,"long, lengthy",ながい,nagai,2
半島,peninsula,はんとう,hantō,2
床の間,alcove,とこのま,tokonoma,2
車掌,(train) conductor,しゃしょう,shashō,2
有料,"admission-paid, toll",ゆうりょう,yūryō,2
日帰り,day trip,ひがえり,higaeri,2
睨む,"to glare at, to scowl at, to keep an eye on",にらむ,niramu,2
不通,"suspension, interruption, stoppage, tie-up, cessation",ふつう,futsū,2
東西,"East and West, whole country",とうざい,tōzai,2
どうぞよろしく,pleased to meet you,,dōzoyoroshiku,2
背負う,"to be burdened with, to carry on back or shoulder",せおう,seō,2
正門,"main gate, main entrance",せいもん,seimon,2
ばからしい,absurd,,bakarashii,2
岬,cape (on coast),みさき,misaki,2
面積,area,めんせき,menseki,2
騒々しい,"noisy, boisterous",そうぞうしい,sōzōshii,2
プリント,"print, handout",,purinto,2
扇子,folding fan,せんす,sensu,2
再三,"again and again, repeatedly",さいさん,saisan,2
快晴,good weather,かいせい,kaisei,2
叔父さん,"middle-aged gentleman, uncle",おじさん,ojisan,2
ともかく,"anyhow, anyway, somehow or other, generally speaking, in any case",,tomokaku,2
売り切れ,sold-out,うりきれ,urikire,2
もったいない,"too good, more than one deserves, wasteful, sacrilegious, unworthy of",,mottainai,2
姪,niece,めい,mei,2
水平線,horizon,すいへいせん,suiheisen,2
概論,"intro, outline, general remarks",がいろん,gairon,2
塵紙,"tissue paper, toilet paper",ちりがみ,chirigami,2
言葉遣い,"speech, expression, wording",ことばづかい,kotobazukai,2
加速,acceleration,かそく,kasoku,2
蹴る,to kick,ける,keru,2
話し掛ける,"to accost a person, to talk (to someone)",はなしかける,hanashikakeru,2
着替え,"changing clothes, change of clothes",きがえ,kigae,2
洗剤,"detergent, washing material",せんざい,senzai,2
下書き,"rough copy, draft",したがき,shitagaki,2
和服,Japanese clothes,わふく,wafuku,2
いよいよ,"more and more, all the more, increasingly, at last, beyond doubt",,iyoiyo,2
短期,short term,たんき,tanki,2
貨物,"cargo, freight",かもつ,kamotsu,2
オーケストラ,orchestra,,ōkesutora,2
討つ,"to attack, to avenge",うつ,utsu,2
交ざる,"to be mixed, to be blended with, to associate with, to mingle with, to join",まざる,mazaru,2
スライド,slide,,suraido,2
温帯,temperate zone,おんたい,ontai,2
農産物,agricultural produce,のうさんぶつ,nōsanbutsu,2
私立,private (establishment),しりつ,shiritsu,2
商店,"shop, business firm",しょうてん,shōten,2
合流,"confluence, union, linking up, merge",ごうりゅう,gōryū,2
バランス,balance,,baransu,2
客間,"parlor, guest room",きゃくま,kyakuma,2
運河,"canal, waterway",うんが,unga,2
きっかけ,"chance, start, cue, excuse",,kikkake,2
サラリーマン,"salary man, company employee",,sararīman,2
俳句,haiku poetry,はいく,haiku,2
神様,god,かみさま,kamisama,2
判事,"judge, judiciary",はんじ,hanji,2
訳す,to translate,やくす,yakusu,2
森林,"forest, woods",しんりん,shinrin,2
内線,"phone extension, indoor wiring, inner line",ないせん,naisen,2
組合せ,combination,くみあわせ,kumiawase,2
停車,stopping (e.g. train),ていしゃ,teisha,2
洋品店,shop which handles Western-style apparel and accessories,ようひんてん,yōhinten,2
覗く,"to peep in, to look in, to peek in, to stick out",のぞく,nozoku,2
格別,exceptional,かくべつ,kakubetsu,2
ファスナー,"fastener, zipper",,fasunā,2
文芸,"literature, art and literature, belles-lettres",ぶんげい,bungei,2
日日,"every day, daily, day after day",ひにち,hinichi,2
個体,an individual,こたい,kotai,2
引返す,"to repeat, to send back, to bring back",ひきかえす,hikikaesu,2
正味,net (weight),しょうみ,shōmi,2
ラッシュアワー,rush hour,,rasshuawā,2
思い付く,"to think of, to hit upon",おもいつく,omoitsuku,2
日陰,shadow,ひかげ,hikage,2
付近,"neighbourhood, vicinity, environs",ふきん,fukin,2
電池,battery,でんち,denchi,2
再来週,week after next,さらいしゅう,saraishū,2
纏める,"to put in order, to collect, to bring to a conclusion",まとめる,matomeru,2
水分,moisture,すいぶん,suibun,2
解散,"breakup, dissolution",かいさん,kaisan,2
威張る,"to be proud, to swagger",いばる,ibaru,2
湿る,"to be wet, to become wet, to be damp",しめる,shimeru,2
あいかわらず,"as ever, as usual, the same",,aikawarazu,2
武士,"warrior, samurai",ぶし,bushi,2
入れ物,"container, case, receptacle",いれもの,iremono,2
鈍い,"dull (e.g. a knife), thickheaded, slow (opposite of fast), stupid",にぶい,nibui,2
発想,"expression (music), conceptualization",はっそう,hassō,2
釘,nail,くぎ,kugi,2
楕円,ellipse,だえん,daen,2
生長,"growth, increment",せいちょう,seichō,2
掛け算,multiplication,かけざん,kakezan,2
テンポ,tempo,,tenpo,2
裏返す,"to turn inside out, to turn (something) over",うらがえす,uragaesu,2
おどかす,"to threaten, to coerce",,odokasu,2
しゃぶる,"to suck, to chew",,shaburu,2
普及,"diffusion, spread",ふきゅう,fukyū,2
紙屑,wastepaper,かみくず,kamikuzu,2
規律,"order, rules, law",きりつ,kiritsu,2
実る,"to bear fruit, to ripen",みのる,minoru,2
貸家,house for rent,かしや,kashiya,2
自治,"self-government, autonomy",じち,jichi,2
器具,utensil,きぐ,kigu,2
浸ける,"to dip in, to soak",つける,tsukeru,2
レクリェーション,recreation,,rekuryēshon,2
慶ぶ,,よろこぶ,yorokobu,2
ブローチ,brooch,,burōchi,2
図表,"chart, diagram, graph",ずひょう,zuhyō,2
チョーク,"chock, chalk",,chōku,2
ステージ,"(1) stage, (2) performance",,sutēji,2
おしゃれ,"smartly dressed, someone smartly dressed, fashion-conscious",,oshare,2
性別,"distinction by sex, sex, gender",せいべつ,seibetsu,2
傾らか,,なだらか,nadaraka,2
シャッター,shutter,,shattā,2
腰掛け,"seat, bench",こしかけ,koshikake,2
しゃがむ,to squat,,shagamu,2
小父さん,"middle-aged gentleman, uncle",おじさん,ojisan,2
足跡,footprints,あしあと,ashiato,2
算数,arithmetic,さんすう,sansū,2
繋げる,to connect,つなげる,tsunageru,2
手頃,"moderate, handy",てごろ,tegoro,2
役者,"actor, actress",やくしゃ,yakusha,2
製作,"manufacture, production",せいさく,seisaku,2
理科,science,りか,rika,2
未満,"less than, insufficient",みまん,miman,2
けれど / けれども,"but, however",,keredo / keredomo,2
思い掛けない,"unexpected, casual",おもいがけない,omoigakenai,2
煮える,"to boil, to cook, to be cooked",にえる,nieru,2
的確,"precise, accurate",てきかく,tekikaku,2
同感,agreement; same opinion; same feeling; sympathy; concurrence,どうかん,dōkan,1
風車,1.  windmill; 2.  pinwheel,かざぐるま,kazaguruma,1
何処か,somewhere; anywhere; in some respects,どこか,dokoka,1
早める,to hasten; to quicken; to expedite; to precipitate; to accelerate,はやめる,hayameru,1
賭け,betting; gambling; a gamble,かけ,kake,1
興じる,to amuse oneself; to make merry,きょうじる,kyōjiru,1
磁気,magnetism,じき,jiki,1
若しかして,perhaps; possibly,もしかして,moshikashite,1
彼方此方,here and there,あちこち,achikochi,1
視点,opinion; point of view; visual point,してん,shiten,1
開発,development; exploitation,かいはつ,kaihatsu,1
彼の,that over there,あの,ano,1
滞納,non-payment; default,たいのう,tainō,1
果て,the end; the extremity; the limit(s); the result,はて,hate,1
長閑,tranquil; calm; quiet,のどか,nodoka,1
負う,to bear; to owe,おう,ō,1
首脳,head; brains,しゅのう,shunō,1
一筋,a line; earnestly; blindly; straightforwardly,ひとすき,hitosuki,1
落ち着き,calm; composure,おちつき,ochitsuki,1
業者,trader; merchant,ぎょうしゃ,gyōsha,1
蛋白質,protein,たんぱくしつ,tanpakushitsu,1
タイムリー,timely; run-batted-in (baseball); RBI,,taimurī,1
後悔,regret; repentance,こうかい,kōkai,1
購読,subscription (e.g. magazine),こうどく,kōdoku,1
嗜好,taste; liking; preference,しこう,shikō,1
診療,medical examination and treatment; diagnosis,しんりょう,shinryō,1
班,group; party; section (mil),はん,han,1
保管,charge; custody; safekeeping; deposit; storage,ほかん,hokan,1
スチーム,steam,,suchīmu,1
配列,arrangement; array (programming),はいれつ,hairetsu,1
染める,to dye; to colour,そめる,someru,1
途上,en route; half way,とじょう,tojō,1
店,store; shop; establishment,てん,ten,1
刑,penalty; sentence; punishment,けい,kei,1
野党,opposition party,やとう,yatō,1
徒歩,walking; going on foot,とほ,toho,1
伝来,ancestral; hereditary; imported; transmitted; handed down,でんらい,denrai,1
トーン,tone,,tōn,1
カメラマン,cameraman,,kameraman,1
抗議,protest; objection,こうぎ,kōgi,1
自惚れ,pretension; conceit; hubris,うぬぼれ,unubore,1
齎らす,to bring; to take; to bring about,もたらす,motarasu,1
優越,supremacy; predominance; being superior to,ゆうえつ,yūetsu,1
不服,dissatisfaction; discontent; disapproval; objection; complaint; protest; disagreement,ふふく,fufuku,1
開催,holding a meeting; open an exhibition,かいさい,kaisai,1
内閣,cabinet; (government) ministry,ないかく,naikaku,1
正当,just; justifiable; right; due; proper; equitable; reasonable; legitimate; lawful,せいとう,seitō,1
垢,dirt; filth,あか,aka,1
先先月,month before last,せんせんげつ,sensengetsu,1
怠慢,negligence; procrastination; carelessness,たいまん,taiman,1
無口,reticence,むくち,mukuchi,1
ご馳走,feast; treating (someone),ごちそう,gochisō,1
ポット,pot,,potto,1
閲覧,inspection; reading,えつらん,etsuran,1
阻む,to keep someone from doing; to stop; to prevent; to check; to hinder; to obstruct; to oppose; to thwart,はばむ,habamu,1
使命,mission; errand; message,しめい,shimei,1
三日月,new moon; crescent moon,みかずき,mikazuki,1
意地,disposition; spirit; willpower; obstinacy; backbone; appetite,いじ,iji,1
音,sound; note,ね,ne,1
造り,make up; structure; physique,つくり,tsukuri,1
忠告,advice; warning,ちゅうこく,chūkoku,1
脈,pulse,みゃく,myaku,1
向上,elevation; rise; improvement; advancement; progress,こうじょう,kōjō,1
任務,duty; function; office; mission; task,にんむ,ninmu,1
成熟,maturity; ripeness,せいじゅく,seijuku,1
余程,very; greatly; much; to a large extent; quite,よっぽど,yoppodo,1
纏め,settlement; conclusion,まとめ,matome,1
チャンネル,a channel,,channeru,1
心掛け,readiness; intention; aim,こころがけ,kokorogake,1
雑談,chatting; idle talk,ざつだん,zatsudan,1
箪笥,chest of drawers,たんす,tansu,1
処分,disposal; dealing; punishment,しょぶん,shobun,1
風習,custom,ふうしゅう,fūshū,1
取り引き,transactions; dealings; business,とりひき,torihiki,1
仕上げ,end; finishing touches; being finished,しあげ,shiage,1
黴菌,bacteria; germ(s),ばいきん,baikin,1
側,side; row; surroundings; part; (watch) case,かわ,kawa,1
瞑る,to close the eyes,つぶる,tsuburu,1
満月,full moon,まんげつ,mangetsu,1
不当,injustice; impropriety; unreasonableness; undeservedness; unfair; invalid,ふとう,futō,1
度忘れ,lapse of memory; forget for a moment,どわすれ,dowasure,1
行き違い,misunderstanding; estrangement; disagreement; crossing without meeting; going astray,いきちがい,ikichigai,1
独創,originality,どくそう,dokusō,1
本名,real name,ほんみょう,honmyō,1
名誉,honor; credit; prestige,めいよ,meiyo,1
兆,signs; omen; symptoms,きざし,kizashi,1
正常,normalcy; normality; normal,せいじょう,seijō,1
取り締まる,to manage; to control; to supervise,とりしまる,torishimaru,1
可愛がる,to love; to be affectionate,かわいがる,kawaigaru,1
この頃,recently,このごろ,konogoro,1
喧しい,noisy; strict; fussy,やかましい,yakamashii,1
葬る,to bury; to inter; to entomb; to consign to oblivion; to shelve,ほうむる,hōmuru,1
印鑑,stamp; seal,いんかん,inkan,1
大水,flood,おおみず,ōmizu,1
好況,prosperous conditions; healthy economy,こうきょう,kōkyō,1
人質,hostage; prisoner,ひとじち,hitojichi,1
掲載,appearance (e.g. article in paper),けいさい,keisai,1
規模,scale; scope; plan; structure,きぼ,kibo,1
疎か,neglect; negligence; carelessness,おろそか,orosoka,1
見方,viewpoint,みかた,mikata,1
異議,objection; dissent; protest,いぎ,igi,1
辞職,resignation,じしょく,jishoku,1
沿う,to run along; to follow,そう,sō,1
真ん中,middle; centre; mid-way,まんなか,mannaka,1
布巾,tea-towel; dish cloth,ふきん,fukin,1
閉口,shut mouth,へいこう,heikō,1
如何にも,indeed; really; phrase meaning agreement,いかにも,ikanimo,1
揺さぶる,to shake; to jolt; to rock; to swing,ゆさぶる,yusaburu,1
設定,establishment; creation,せってい,settei,1
絨毯,carpet,じゅうたん,jūtan,1
背負う,to be burdened with; to carry on back or shoulder,しょう,shō,1
大胆,bold; daring; audacious,だいたん,daitan,1
名付ける,to name (someone),なづける,nazukeru,1
ファイト,fight,,faito,1
夜中,all night; the whole night,やちゅう,yachū,1
辛うじて,barely; narrowly; just manage to do st,かろうじて,karōjite,1
しくじる,to fail; to fall through; to blunder,,shikujiru,1
模範,exemplar; exemplification; exemplum; model; example,もはん,mohan,1
余り,not very (this form only used as adverb); not much; remainder; rest; remnant; surplus; balance; excess; rema,あんまり,anmari,1
ドライ,dry,,dorai,1
粥,(rice) gruel,かゆ,kayu,1
若しも,if,もしも,moshimo,1
先行,preceding; going first,せんこう,senkō,1
有力,1.  influence; prominence; 2.  potent,ゆうりょく,yūryoku,1
明瞭,clarity,めいりょう,meiryō,1
