Words,Meanings,Characters,Spellings,Levels
借りる,to borrow,かりる,kariru,5
口,"mouth, opening",くち,kuchi,5
持つ,to hold,もつ,motsu,5
上着,jacket,うわぎ,uwagi,5
秋,autumn,あき,aki,5
悪い,bad,わるい,warui,5
青い,blue,あおい,aoi,5
住む,to live in,すむ,sumu,5
かける,to call by phone,,kakeru,5
木曜日,Thursday,もくようび,mokuyōbi,5
忘れる,to forget,わすれる,wasureru,5
お手洗い,bathroom,おてあらい,otearai,5
写真,photograph,しゃしん,shashin,5
ゼロ,zero,,zero,5
いろいろ,various,,iroiro,5
もう,already,,mō,5
会う,to meet,あう,au,5
南,south,みなみ,minami,5
五日,"five days, fifth day",いつか,itsuka,5
着る,to put on from the shoulders down,きる,kiru,5
そこ,that place,,soko,5
終る,to finish,おわる,owaru,5
どの,which,,dono,5
読む,to read,よむ,yomu,5
それでは,in that situation,,soredeha,5
来月,next month,らいげつ,raigetsu,5
果物,fruit,くだもの,kudamono,5
止まる,to come to a halt,とまる,tomaru,5
着く,to arrive at,つく,tsuku,5
大好き,to be very likeable,だいすき,daisuki,5
妹,(humble) younger sister,いもうと,imōto,5
夏,summer,なつ,natsu,5
今晩,this evening,こんばん,konban,5
塩,salt,しお,shio,5
先週,last week,せんしゅう,senshū,5
欲しい,want,ほしい,hoshii,5
木,"tree, wood",き,ki,5
ほんとう,truth,,hontō,5
薬,medicine,くすり,kusuri,5
お菓子,"sweets, candy",おかし,okashi,5
金曜日,Friday,きんようび,kin'yōbi,5
まずい,unpleasant,,mazui,5
お酒,"alcohol, rice wine",おさけ,osake,5
多い,many,おおい,ōi,5
動物,animal,どうぶつ,dōbutsu,5
切符,ticket,きっぷ,kippu,5
キロ / キロメートル,kilometre,,kiro / kiromētoru,5
呼ぶ,"to call out, to invite",よぶ,yobu,5
体,body,からだ,karada,5
ゆっくりと,slowly,,yukkurito,5
二日,"two days, second day of the month",ふつか,futsuka,5
大人,adult,おとな,otona,5
歯,tooth,は,ha,5
冬,winter,ふゆ,fuyu,5
所,place,ところ,tokoro,5
吹く,to blow,ふく,fuku,5
足,"foot, leg",あし,ashi,5
箱,box,はこ,hako,5
八,eight,はち,hachi,5
朝,morning,あさ,asa,5
一昨日,day before yesterday,おととい,ototoi,5
有名,famous,ゆうめい,yūmei,5
二十日,"twenty days, twentieth",はつか,hatsuka,5
近い,near,ちかい,chikai,5
ください,please,,kudasai,5
時計,"watch, clock",とけい,tokei,5
午後,afternoon,ごご,gogo,5
食べ物,food,たべもの,tabemono,5
降る,"to fall, e.g. rain or snow",ふる,furu,5
易しい,"easy, simple",やさしい,yasashii,5
大使館,embassy,たいしかん,taishikan,5
誰,who,だれ,dare,5
上,on top of,うえ,ue,5
五,five,ご,go,5
十日,"ten days, the tenth day",とおか,tōka,5
どちら,which of two,,dochira,5
プール,swimming pool,,pūru,5
小さい,little,ちいさい,chiisai,5
今週,this week,こんしゅう,konshū,5
肉,meat,にく,niku,5
零,zero,れい,rei,5
豚肉,pork,ぶたにく,butaniku,5
広い,"spacious, wide",ひろい,hiroi,5
靴下,socks,くつした,kutsushita,5
一人,one person,ひとり,hitori,5
かぎ,key,,kagi,5
向こう,over there,むこう,mukō,5
上手,skillful,じょうず,jōzu,5
牛肉,beef,ぎゅうにく,gyūniku,5
話,"talk, story",はなし,hanashi,5
毎晩,every night,まいばん,maiban,5
三つ,three,みっつ,mittsu,5
吸う,"to smoke, to suck",すう,sū,5
銀行,bank,ぎんこう,ginkō,5
大切,important,たいせつ,taisetsu,5
学生,student,がくせい,gakusei,5
部屋,room,へや,heya,5
昼御飯,midday meal,ひるごはん,hirugohan,5
下,below,した,shita,5
二つ,two,ふたつ,futatsu,5
百,hundred,ひゃく,hyaku,5
地図,map,ちず,chizu,5
八百屋,greengrocer,やおや,yaoya,5
ネクタイ,"tie, necktie",,nekutai,5
去年,last year,きょねん,kyonen,5
火曜日,Tuesday,かようび,kayōbi,5
乗る,"to get on, to ride",のる,noru,5
弟,younger brother,おとうと,otōto,5
あなた,you,,anata,5
千,thousand,せん,sen,5
緑,green,みどり,midori,5
とり肉,chicken meat,とりにく,toriniku,5
軽い,light,かるい,karui,5
あまり,not very,,amari,5
帽子,hat,ぼうし,bōshi,5
丈夫,"strong, durable",じょうぶ,jōbu,5
入れる,to put in,いれる,ireru,5
二十歳,"20 years old, 20th year",はたち,hatachi,5
三日,"three days, third day of the month",みっか,mikka,5
遠い,far,とおい,tōi,5
夏休み,summer holiday,なつやすみ,natsuyasumi,5
友達,friend,ともだち,tomodachi,5
